Device_ID,User Switch,Flash,Temperature Sensor,Temperature,Humidity,Radio,Sleep Current (uA),Date
H4200001,1,1,1,27.1,45,1,3.65869917,13:02:2024 12:59:33
H4200002,1,1,1,28.4,45,1,3.6863084,13:02:2024 12:58:31
H4200003,1,1,1,30.1,44,1,3.4530614,13:02:2024 13:16:15
H4200004,1,1,1,28.6,44,1,7.049209,13:02:2024 12:58:02
H4200005,1,1,1,29.2,47,1,4.324923,13:02:2024 13:07:26
H4200006,1,1,1,28.7,53,1,4.9543049,13:02:2024 13:06:52
H4200007,1,1,1,29.5,49,1,7.0915253,13:02:2024 13:01:15
H4200008,1,1,1,29.9,44,1,3.4754603,13:02:2024 13:02:30
H4200009,1,1,1,29.5,51,1,5.6554902,13:02:2024 13:05:30
H4200010,1,1,1,29.6,45,1,3.4031264,13:02:2024 13:00:46
H4200011,1,1,1,29.2,45,1,3.4729936,13:02:2024 12:57:29
H4200012,1,1,1,30.6,44,1,7.0084313,13:02:2024 13:03:34
H4200013,1,1,1,29.3,56,1,4.8064539,13:02:2024 13:01:53
H4200014,1,1,1,28.8,46,1,5.6899466,13:02:2024 13:05:58
H4200015,1,1,1,29.5,50,1,3.6238484,13:02:2024 13:05:03
H4200016,1,1,1,30.2,44,1,4.7817478,13:02:2024 12:52:35
H4200017,1,1,1,28,47,1,3.6727412,13:02:2024 12:52:07
H4200018,1,1,1,29,52,1,5.6590434,13:02:2024 13:04:00
H4200019,1,1,1,30.1,41,1,5.0833644,13:02:2024 13:03:03
H4200020,1,1,1,28.7,49,1,3.4073717,13:02:2024 12:51:37
H4200021,1,1,1,28.7,52,1,3.6557768,13:02:2024 13:04:36
H4200022,1,1,1,28.8,50,1,3.6042864,13:02:2024 12:50:17
H4200023,1,1,1,30.1,46,1,6.1111887,13:02:2024 13:08:21
H4200024,1,1,1,28.9,51,1,4.9728833,13:02:2024 12:53:02
H4200025,1,1,1,30.2,45,1,6.1266658,13:02:2024 12:54:04
H4200026,1,1,1,30.5,44,1,6.1831765,13:02:2024 12:51:11
H4200027,1,1,1,28.9,49,1,6.1562537,13:02:2024 12:50:44
