Device_ID,IMEI NUMBERS,SIM CCID,"Burnin Test
Start date ","Burnin Test
End date ", HardWare Version, SoftWare Version,Temperature,Humidity,Luminosity, Latitute, Longitute,battery_value,message_counter,Burnin Test,Device Twins Config,Device Twins Test,Switch Test,Battery Status,Remarks,Wi-Fi SSID,Wi-Fi Password
67510B56E0,862044066962130,8944501611211875405F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,26.9,74.5,15,13.03274,77.62758,76,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56E1,862044066972303,8944501611211891451F,13-07-2023 12:22,13-07-2023 22:22,1,2.3,26.7,74,15,13.03277,77.62757,76,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56E2,862044066962098,8944501611211875322F,13-07-2023 11:16,13-07-2023 21:16,1,2.3,26.5,74,15,13.03261,77.62785,74,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56E3,862044066943510,8944501611211889786F,13-07-2023 09:25,13-07-2023 19:25,1,2.3,26.9,73,15,13.03327,77.62849,75,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56E4,862044066975637,8944501611211877161F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,26.8,74,15,13.03258,77.62776,73,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56E5,862044066961975,8944501611211875421F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27.1,74.5,15,13.03285,77.62819,70,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56E6,862044066960332,8944501611211890214F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27,74,15,13.03311,77.62824,74,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56E7,862044066948469,8944501611211888101F,13-07-2023 12:22,13-07-2023 22:22,1,2.3,27.2,74.5,15,13.03255,77.628,74,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56E8,862044066960043,8944501611211890115F,13-07-2023 11:16,13-07-2023 21:16,1,2.3,27,74.5,15,13.0328,77.62822,78,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56E9,862044066959805,8944501611211890040F,13-07-2023 09:25,13-07-2023 19:25,1,2.3,27.2,73.5,15,13.03258,77.62799,78,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56EA,862044066939369,8944501611211789861F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27.1,73.5,15,13.03279,77.62828,74,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56EB,862044066973186,8944501611211891824F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27,73.5,15,13.03271,77.62813,78,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56EC,862044066960225,8944501611211890206F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27,74,15,13.03251,77.62773,78,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56ED,862044066984688,8944501611211877567F,13-07-2023 12:22,13-07-2023 22:22,1,2.3,26.9,74.5,15,13.03229,77.62803,73,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56EE,862044066973418,8944501611211891840F,13-07-2023 11:16,13-07-2023 21:16,1,2.3,27,73.5,15,13.03256,77.62777,74,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56EF,862044066976163,8944501611211893481F,13-07-2023 09:25,13-07-2023 19:25,1,2.3,26.9,73.5,15,13.03242,77.62782,76,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F0,862044066959995,8944501611211890016F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,26.8,74.5,15,13.03252,77.62788,74,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F1,862044066969648,8944501611211786065F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27.1,73,15,13.03276,77.62759,70,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F2,862044066973004,8944501611211891162F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27,71.5,15,13.03253,77.62784,76,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F3,862044066972527,8944501611211891196F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27.2,71.5,15,13.0331,77.62833,78,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F4,862044066953964,8944501611211877732F,13-07-2023 12:22,13-07-2023 22:22,1,2.3,27,71.5,15,13.03248,77.62787,79,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F5,862044066944989,8944501611211888770F,13-07-2023 11:16,13-07-2023 21:16,1,2.3,27.2,72,15,13.03436,77.62836,71,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F6,862044066947719,8944501611211789846F,13-07-2023 09:25,13-07-2023 19:25,1,2.3,27.1,71,15,13.03238,77.62768,75,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F7,862044066961942,8944501611211875447F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27,70.5,15,13.03247,77.62785,79,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F8,862044066979662,8944501611211878912F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,27,71,15,13.03257,77.62768,78,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56F9,862044066983946,8944501611211883730F,13-07-2023 13:49,13-07-2023 23:49,1,2.3,26.9,71.5,15,13.0328,77.62826,76,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56FA,862044066976015,8944501611211893465F,13-07-2023 12:22,13-07-2023 22:22,1,2.3,27,71.5,15,13.03273,77.62759,74,6,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
67510B56FB,862044066961405,8944501611211875827F,13-07-2023 11:16,13-07-2023 21:16,1,2.3,26,71,15,13.03255,77.62787,75,7,Pass,Done,Pass,Pass,Charged,Pass,GNDTEST,GND@TEST
