Device_ID,Temperature Sensor,Temperature,Humidity,Sleep Current,TimeStamp,
S3600001,1,28.9,43,16.3546244,03:06:2023 18:06:09,
S3600002,1,28.3,42,18.2230959,04:06:2023 17:53:49,
S3600003,1,28.6,42,17.7117673,03:06:2023 18:08:28,
S3600004,1,28.9,50,22.0569557,03:06:2023 17:29:36,
S3600005,1,29.2,51,18.0476789,03:06:2023 17:37:27,
S3600006,1,29,51,18.4866748,03:06:2023 18:14:37,
S3600007,1,29.3,53,18.6564146,03:06:2023 18:03:35,
S3600008,1,29.1,51,20.5684153,04:06:2023 17:52:28,
S3600009,1,29.6,49,20.4822845,03:06:2023 17:31:46,
S3600010,1,29.6,49,19.7007312,03:06:2023 18:04:04,
S3600011,1,28.4,42,18.0107636,04:06:2023 17:51:52,
S3600012,1,28.5,44,24.690377,03:06:2023 18:18:47,
S3600013,1,29.8,49,22.6365339,03:06:2023 18:12:58,
S3600014,1,28.8,53,17.909286,04:06:2023 18:09:17,
S3600015,1,28.9,48,17.5271632,04:06:2023 18:01:16,
S3600016,1,28.7,50,21.973412,04:06:2023 18:04:30,
S3600017,1,29.6,52,19.1132425,03:06:2023 18:09:45,
S3600018,1,28.5,52,25.1516966,04:06:2023 18:22:06,
S3600019,1,28.5,47,20.6072491,04:06:2023 18:15:58,
S3600020,1,29,50,18.803316,03:06:2023 18:25:10,
S3600021,1,29.4,51,21.332037,03:06:2023 18:16:57,
S3600022,1,28.8,47,20.9708799,03:06:2023 18:00:47,
S3600023,1,28.1,44,19.2278531,03:06:2023 18:02:28,
S3600024,1,29.6,44,21.2599768,03:06:2023 17:55:04,
S3600025,1,29.3,52,20.063286,04:06:2023 18:03:47,
S3600026,1,29.2,50,22.6776094,03:06:2023 18:19:59,
S3600027,1,29.2,50,20.4103147,03:06:2023 18:09:14,
S3600028,1,29,51,20.3699585,03:06:2023 18:16:00,
S3600029,1,29.1,52,19.0571265,03:06:2023 18:17:22,
S3600030,1,28.5,49,22.0112688,03:06:2023 16:41:56,
S3600031,1,28.7,48,17.9360674,03:06:2023 17:58:12,
S3600032,1,29,52,22.4025328,04:06:2023 18:19:31,
S3600033,1,28.8,45,21.9779486,04:06:2023 18:25:37,
S3600034,1,28.9,45,19.5470009,03:06:2023 18:19:18,
S3600035,1,28.6,44,14.9323149,03:06:2023 17:58:18,
S3600036,1,29.5,50,21.174231,04:06:2023 18:19:40,
S3600037,1,29.3,51,20.8600518,03:06:2023 18:01:22,
S3600038,1,28.8,43,20.5822169,03:06:2023 18:07:56,
S3600039,1,28.9,52,24.2005002,04:06:2023 18:13:04,
S3600040,1,28.8,47,22.3006963,03:06:2023 17:27:25,
S3600041,1,28.5,46,20.4846272,04:06:2023 17:53:09,
S3600042,1,29.3,51,21.3743715,03:06:2023 18:00:36,
S3600043,1,28.8,53,18.9776212,03:06:2023 17:38:55,
S3600044,1,28.8,50,20.4352223,03:06:2023 18:11:37,
S3600045,1,28.3,50,17.4963483,03:06:2023 16:38:35,
S3600046,1,28.2,45,17.9107117,04:06:2023 18:03:42,
S3600047,1,28.8,46,19.5448224,03:06:2023 18:16:31,
S3600048,1,29.2,47,17.0453906,03:06:2023 18:01:12,
S3600049,1,28.2,42,19.2147348,03:06:2023 18:11:01,
S3600050,1,28.6,49,18.022187,04:06:2023 17:15:43,
S3600051,1,29.2,51,24.815212,03:06:2023 18:01:43,
S3600052,1,29.1,52,17.3650248,04:06:2023 18:26:58,
S3600053,1,29,48,20.5596786,03:06:2023 17:56:50,
S3600054,1,29.6,45,16.9082951,03:06:2023 18:19:07,
S3600055,1,28.8,52,17.6795535,03:06:2023 16:33:16,
S3600056,1,29.8,51,15.8182487,03:06:2023 17:30:18,
S3600057,1,28.8,50,18.7049805,04:06:2023 18:05:22,
S3600058,1,28.9,53,23.0069939,03:06:2023 17:52:39,
S3600059,1,29.4,52,24.5467745,04:06:2023 18:16:49,
S3600060,1,28.4,48,22.581137,03:06:2023 18:13:25,
S3600061,1,28.6,51,26.674718,03:06:2023 18:23:32,
S3600062,1,28.4,44,20.4023661,04:06:2023 18:06:26,
S3600063,1,28.6,47,19.2477176,03:06:2023 16:47:33,
S3600064,1,28.5,41,19.5041722,03:06:2023 18:12:38,
S3600065,1,28.5,45,18.0093141,03:06:2023 18:15:51,
S3600066,1,29.5,53,19.3552678,03:06:2023 17:56:20,
S3600067,1,29.8,51,20.5904409,03:06:2023 18:07:21,
S3600068,1,28.3,42,22.3207062,04:06:2023 18:07:35,
S3600069,1,28.8,53,19.8543069,04:06:2023 18:20:41,
S3600070,1,28,50,19.8746642,03:06:2023 18:12:05,
S3600071,1,29.2,49,19.9466928,03:06:2023 16:31:17,
S3600072,1,28.2,44,26.0148972,03:06:2023 18:21:06,
S3600073,1,29.6,50,18.6114417,03:06:2023 18:01:57,
S3600074,1,29.2,48,22.9919207,03:06:2023 18:07:32,
S3600075,1,29,51,15.1169222,03:06:2023 18:10:42,
S3600076,1,29.4,49,18.9660149,03:06:2023 18:06:33,
S3600077,1,28.6,52,17.2449692,03:06:2023 17:59:42,
S3600078,1,28.9,52,18.5157198,03:06:2023 18:00:01,
S3600079,1,28.8,47,16.2193114,03:06:2023 18:14:32,
S3600080,1,29.1,51,19.9430459,03:06:2023 18:18:20,
S3600081,1,29.3,50,20.5350252,03:06:2023 16:30:40,
S3600082,1,28.4,44,23.3929538,03:06:2023 17:48:45,
S3600083,1,28.9,54,17.0821654,03:06:2023 18:03:41,
S3600084,1,29.5,52,17.7275924,03:06:2023 18:13:11,
S3600085,1,29.2,52,19.3060443,04:06:2023 18:21:37,
S3600086,1,29.1,47,23.1068196,03:06:2023 18:08:57,
S3600087,1,29.1,48,21.5620089,04:06:2023 18:01:15,
S3600088,1,28.9,42,19.4123134,04:06:2023 18:24:43,
S3600089,1,28.6,44,24.280518,03:06:2023 16:52:48,
S3600090,1,28.1,44,16.3562355,03:06:2023 16:32:39,
S3600091,1,29,51,20.9185759,03:06:2023 18:16:36,
S3600092,1,28.9,53,17.7890544,03:06:2023 18:09:26,
S3600093,1,29.3,53,20.5098997,04:06:2023 18:22:28,
S3600094,1,28.7,48,19.6445384,03:06:2023 18:19:19,
S3600095,1,28.5,51,18.8931678,04:06:2023 17:56:27,
S3600096,1,29,52,21.6653892,03:06:2023 18:13:58,
S3600097,1,28.3,47,20.3035961,03:06:2023 18:14:58,
S3600098,1,29.1,50,19.8124435,04:06:2023 18:19:07,
S3600099,1,28.8,53,17.8618365,04:06:2023 18:14:48,
S3600100,1,29,50,23.1255026,03:06:2023 18:16:53,
S3600101,1,29.3,52,26.0314713,03:06:2023 18:22:53,
S3600102,1,28.9,46,24.5506225,03:06:2023 18:03:41,
S3600103,1,29.8,52,20.0366368,03:06:2023 17:41:56,
S3600104,1,28.7,42,20.9662947,04:06:2023 17:59:38,
S3600105,1,28.6,53,25.7092064,04:06:2023 18:12:05,
S3600106,1,29.1,51,18.6147965,03:06:2023 18:11:37,
S3600107,1,29,46,18.4056116,04:06:2023 18:13:44,
S3600108,1,28.1,49,22.7820417,03:06:2023 16:24:51,
S3600109,1,28.5,45,17.8934999,03:06:2023 18:06:05,
S3600110,1,29.1,50,20.2361789,03:06:2023 18:04:17,
S3600111,1,29.3,51,19.0612866,04:06:2023 18:20:06,
S3600112,1,28.6,53,17.706283,03:06:2023 18:18:25,
S3600113,1,28.9,49,19.2604458,04:06:2023 18:06:47,
S3600114,1,29.7,52,15.6676044,03:06:2023 18:05:31,
S3600115,1,28.8,52,20.1111678,03:06:2023 17:59:23,
S3600116,1,29.3,49,20.7153681,04:06:2023 18:21:56,
S3600117,1,28.3,44,20.6115628,04:06:2023 18:08:39,
S3600118,1,29.3,44,19.8249092,03:06:2023 18:02:22,
S3600119,1,29,47,21.0431297,04:06:2023 18:13:29,
S3600120,1,29.4,52,22.1013457,03:06:2023 18:14:44,
S3600121,1,28.9,52,17.6002972,03:06:2023 18:11:05,
S3600122,1,29.3,52,21.7069741,03:06:2023 18:11:09,
S3600123,1,29,51,16.9896499,03:06:2023 17:58:47,
S3600124,1,28,40,18.2787148,04:06:2023 18:16:16,
S3600125,1,29.2,52,18.057883,03:06:2023 16:45:53,
S3600126,1,29.4,45,22.2597746,03:06:2023 16:56:16,
S3600127,1,29.2,46,18.1965609,03:06:2023 17:40:41,
S3600128,1,28.9,50,20.2330831,03:06:2023 18:17:54,
S3600129,1,29.4,49,21.1399637,03:06:2023 17:38:10,
S3600130,1,28.2,48,21.1734891,03:06:2023 17:57:28,
S3600131,1,28.1,43,22.8506683,03:06:2023 18:05:05,
S3600132,1,28.7,52,20.1706887,04:06:2023 18:23:07,
