Device_ID,IMEI,WiFi MAC ID,Charger Cable Connected,Charging,Button Test,Battery Percentage,NOR Flash Test,EEPROM Test,EEPROM ERASE Test,GPS Test,RTC Test,Scanner 1 Test,Scanner 2 Test,WiFi Test,Validity,Board Test Result,TimeStamp,Server,Product code,Start_up packet,Health packet,comm_mode,comm_mode,wifi_fw_ver,firmware_version,hardware_version,communication_mode,BLE Scanner,Lora Scanner,Application Test Result
GSWCL00031,8.67689E+14,D4:D4:DA:20:3E:00,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:06:09,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00032,8.67689E+14,08:3A:8D:2A:F9:B4,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 17:53:49,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00033,8.67689E+14,08:3A:8D:2A:FA:68,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:08:28,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00034,8.67689E+14,D4:D4:DA:20:42:F0,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:29:36,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00035,8.67689E+14,08:3A:8D:2A:FB:20,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:37:27,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00036,8.67689E+14,D4:D4:DA:20:3E:5C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:14:37,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00037,8.67689E+14,08:3A:8D:2A:F8:88,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:03:35,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00038,8.67689E+14,08:3A:8D:2A:F9:48,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 17:52:28,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00039,8.67689E+14,D4:D4:DA:20:20:CC,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:31:46,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00040,8.67689E+14,08:3A:8D:2A:F7:1C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:04:04,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
